0.90000 0.00866 -0.01955 0.02472 0.05837 -0.01640 0.02000 0.06090 0.00400 0.00000 0.00100 -0.01175 0.00494 -0.00385 -0.03588 -0.00654 0.00876 -0.02334 0.03126 0.04372 0.68255 0.42510 -0.59446 0.42510 0.43072 0.79607 0.59446 -0.79607 0.11328
0.95000 0.00860 -0.01979 0.02533 0.05712 -0.01620 0.02000 0.06095 0.00400 0.00000 0.00100 -0.01083 0.00617 -0.00575 -0.03642 -0.00623 0.00847 -0.02236 0.03039 0.04470 0.70784 0.39714 -0.58415 0.39714 0.46016 0.79404 0.58415 -0.79404 0.16800
1.00000 0.00848 -0.02014 0.02574 0.05599 -0.01600 0.02000 0.06100 0.00400 0.00000 0.00100 -0.00963 0.00725 -0.00723 -0.03690 -0.00587 0.00811 -0.02123 0.02934 0.04597 0.73672 0.36379 -0.56999 0.36379 0.49733 0.78759 0.56999 -0.78759 0.23404
1.05000 0.00890 -0.02017 0.02587 0.05520 -0.01580 0.02000 0.06105 0.00400 0.00000 0.00100 -0.00791 0.00842 -0.00838 -0.03730 -0.00545 0.00769 -0.01993 0.02813 0.04746 0.76916 0.32585 -0.54973 0.32585 0.54003 0.77600 0.54973 -0.77600 0.30919
1.10000 0.00841 -0.02002 0.02587 0.05451 -0.01560 0.02000 0.06110 0.00400 0.00000 0.00100 -0.00543 0.00904 -0.00904 -0.03757 -0.00500 0.00724 -0.01852 0.02683 0.04908 0.80246 0.28620 -0.52359 0.28620 0.58537 0.75856 0.52359 -0.75856 0.38782
1.15000 0.00872 -0.01985 0.02584 0.05410 -0.01540 0.02000 0.06115 0.00400 0.00000 0.00100 -0.00244 0.00933 -0.00945 -0.03769 -0.00453 0.00676 -0.01704 0.02545 0.05077 0.83489 0.24663 -0.49206 0.24663 0.63161 0.73500 0.49206 -0.73500 0.46649
1.20000 0.00869 -0.01948 0.02566 0.05401 -0.01520 0.02000 0.06120 0.00400 0.00000 0.00100 0.00022 0.00939 -0.00958 -0.03768 -0.00406 0.00629 -0.01551 0.02402 0.05248 0.86527 0.20862 -0.45583 0.20862 0.67697 0.70581 0.45583 -0.70581 0.54224
1.25000 0.00873 -0.01893 0.02546 0.05415 -0.01500 0.02000 0.06125 0.00400 0.00000 0.00100 0.00266 0.00906 -0.00932 -0.03755 -0.00361 0.00582 -0.01400 0.02259 0.05413 0.89219 0.17397 -0.41680 0.17397 0.71926 0.67259 0.41680 -0.67259 0.61146
1.30000 0.00858 -0.01830 0.02502 0.05423 -0.01480 0.02000 0.06130 0.00400 0.00000 0.00100 0.00462 0.00841 -0.00890 -0.03732 -0.00319 0.00537 -0.01256 0.02119 0.05568 0.91487 0.14362 -0.37734 0.14362 0.75771 0.63658 0.37734 -0.63658 0.67257
1.35000 0.00863 -0.01772 0.02462 0.05442 -0.01460 0.02000 0.06135 0.00400 0.00000 0.00100 0.00682 0.00768 -0.00822 -0.03698 -0.00280 0.00496 -0.01122 0.01987 0.05713 0.93351 0.11780 -0.33864 0.11780 0.79130 0.59996 0.33864 -0.59996 0.72481
