0.00000 0.00001 -0.00084 0.00392 0.09968 -0.01000 0.01000 0.10000 0.00080 0.00000 0.00000 -0.00000 -0.00508 0.00525 -0.00000 -0.00025 0.00026 -0.00169 0.00175 0.09996 0.99943 0.00059 -0.03386 0.00059 0.99939 0.03500 0.03386 -0.03500 0.99881
0.05000 0.00590 -0.00110 0.00382 0.09976 -0.00996 0.01000 0.10000 0.00080 0.00000 0.00000 0.00162 -0.00462 0.00319 0.00008 -0.00048 0.00042 -0.00323 0.00281 0.09996 0.99791 0.00182 -0.06457 0.00182 0.99842 0.05620 0.06457 -0.05620 0.99633
0.10000 0.00555 -0.00147 0.00384 0.09966 -0.00992 0.01000 0.10000 0.00080 0.00000 0.00000 0.00206 -0.00445 0.00324 0.00018 -0.00071 0.00058 -0.00472 0.00390 0.09993 0.99556 0.00367 -0.09408 0.00367 0.99697 0.07766 0.09408 -0.07766 0.99253
0.15000 0.00692 -0.00213 0.00396 0.09971 -0.00988 0.01000 0.10000 0.00080 0.00000 0.00000 0.00286 -0.00422 0.00322 0.00033 -0.00092 0.00074 -0.00613 0.00497 0.09991 0.99252 0.00607 -0.12193 0.00607 0.99508 0.09890 0.12193 -0.09890 0.98760
0.20000 0.00612 -0.00282 0.00411 0.09986 -0.00984 0.01000 0.10000 0.00080 0.00000 0.00000 0.00316 -0.00384 0.00314 0.00049 -0.00111 0.00090 -0.00742 0.00602 0.09988 0.98908 0.00887 -0.14714 0.00887 0.99279 0.11952 0.14714 -0.11952 0.98187
0.25000 0.00664 -0.00335 0.00441 0.09973 -0.00980 0.01000 0.10000 0.00080 0.00000 0.00000 0.00310 -0.00345 0.00306 0.00064 -0.00128 0.00105 -0.00857 0.00705 0.09982 0.98543 0.01198 -0.16967 0.01198 0.99015 0.13949 0.16967 -0.13949 0.97558
0.30000 0.00741 -0.00396 0.00471 0.09990 -0.00976 0.01000 0.10000 0.00080 0.00000 0.00000 0.00363 -0.00314 0.00289 0.00082 -0.00144 0.00120 -0.00963 0.00802 0.09978 0.98167 0.01527 -0.18999 0.01527 0.98728 0.15824 0.18999 -0.15824 0.96895
0.35000 0.00696 -0.00449 0.00512 0.09982 -0.00972 0.01000 0.10000 0.00080 0.00000 0.00000 0.00333 -0.00280 0.00273 0.00099 -0.00158 0.00134 -0.01057 0.00894 0.09971 0.97795 0.01864 -0.20799 0.01864 0.98424 0.17585 0.20799 -0.17585 0.96219
0.40000 0.00745 -0.00514 0.00564 0.09988 -0.00968 0.01000 0.10000 0.00080 0.00000 0.00000 0.00353 -0.00249 0.00251 0.00117 -0.00170 0.00146 -0.01141 0.00978 0.09966 0.97437 0.02197 -0.22389 0.02197 0.98116 0.19192 0.22389 -0.19192 0.95553
0.45000 0.00682 -0.00585 0.00628 0.09983 -0.00964 0.01000 0.10000 0.00080 0.00000 0.00000 0.00322 -0.00213 0.00223 0.00133 -0.00181 0.00157 -0.01213 0.01053 0.09961 0.97110 0.02510 -0.23736 0.02510 0.97820 0.20613 0.23736 -0.20613 0.94930
